연번,센터유형,센터명,운영기관,시설명,우편번호,주소,X,Y,사무실전화번호
86,지역,코로나19 서울특별시 마포구 예방접종센터,,마포구민체육센터,3954,서울특별시 마포구 월드컵로25길 190,126.8969649,37.5567653,02-3153-6332
87,지역,코로나19 서울특별시 강남구 예방접종센터,,일원에코센터,135-230,서울특별시 강남구 일원동 4-12,127.0891754,37.495249,02-3423-5162
88,지역,코로나19 대구광역시 북구 예방접종센터,,대구복합스포츠타운 시민체육관,41594,대구광역시 북구 고성로 191 (고성동3가),128.5868043,35.8829254,053-665-0697
89,지역,코로나19 대구광역시 서구 예방접종센터,,서구국민체육센터,41759,대구광역시 서구 문화로 72 (이현동),128.5409908,35.8733951,053-663-3222
90,지역,코로나19 인천광역시 동구 예방접종센터,,송림체육관,22534,인천광역시 동구 염전로 30,126.6476567,37.4843624,032-770-5774
91,지역,코로나19 인천광역시 강화군 예방접종센터,,강화문예회관,23028,인천광역시 강화군 강화읍 고비고개로19번길 12,126.4745728,37.7453664,032-930-4045
92,지역,코로나19 광주광역시 동구 예방접종센터,,동구문화센터,61498,"광주광역시 동구 남문로 646, 4층",126.9309327,35.128599,062-608-3394
93,지역,코로나19 광주광역시 북구 예방접종센터,,전남대학교 스포츠센터,61186,"광주광역시 북구 우치로 91, 전남대학교",126.9119772,35.1753518,062-410-8118
94,지역,코로나19 광주광역시 광산구 예방접종센터,,광주보훈병원 재활체육관,62284,"광주광역시 광산구 첨단월봉로 99, 광주보훈병원",126.849672,35.2079032,062-960-6862
95,지역,코로나19 대전광역시 동구 예방접종센터,,동구 국민체육센터,34593,대전광역시 동구 가양로 9,127.4381621,36.339464,042-251-4953
96,지역,코로나19 대전광역시 중구 예방접종센터,,한밭체육관,35021,대전광역시 중구 대종로 373(부사동),127.429163,36.315542,042-288-8012
97,지역,코로나19 대전광역시 서구 예방접종센터,,도솔다목적체육관,35344,대전광역시 서구 배재로197번길 41(도마동),127.3678805,36.324631,042-288-2611
98,지역,코로나19 대전광역시 대덕구 예방접종센터,,청소년어울림센터,34411,대전광역시 대덕구 쌍청당로 25,127.4342936,36.3642759,042-608-5431
99,지역,코로나19 울산광역시 동구 예방접종센터,,전하체육센터,44020,울산광역시 동구 봉수로 285,129.4220994,35.5120985,052-209-4101
100,지역,코로나19 울산광역시 울주군 예방접종센터,,울주군 국민체육센터,44920,울산광역시 울주군 범서읍 구영로 101-16,129.2449145,35.5744221,052-204-2743
101,지역,코로나19 경기도 광명시 예방접종센터,,광명시민체육관,14259,경기도 광명시 오리로 703(하안동),126.8706918,37.4634416,02-2680-0959
102,지역,코로나19 경기도 의정부시 예방접종센터,,의정부역 앞 시민공원,480-010,경기도 의정부시 의정부동 161-10,127.0473647,37.7370107,031-870-6547
103,지역,코로나19 경기도 평택시 송탄 예방접종센터,,이충문화체육센터,17731,경기도 평택시 장안웃길 149,127.07071,37.0660579,031-8024-7242
104,지역,코로나19 경기도 이천시 예방접종센터,,이천시종합운동장 배드민턴장,17321,경기도 이천시 부발읍 중부대로 1696,127.4970639,37.28800668,031-645-3401
105,지역,코로나19 경기도 여주시 예방접종센터,,여주시 실내체육관,12625,경기도 여주시 영릉로 123,127.6233793,37.2936663,031-887-3277
106,지역,코로나19 경기도 파주시 예방접종센터,,시민회관 대공연장,10932,경기도 파주시 시민회관길 33,126.7806728,37.7592755,031-940-5597
107,지역,코로나19 경기도 부천시 예방접종센터,,부천체육관,14509,경기도 부천시 석천로 293,126.7630523,37.5133367,032-625-4493
108,지역,코로나19 경기도 양평군 예방접종센터,,물맑은실내체육관,12546,경기도 양평군 양평읍 마유산로 11,127.4856578,37.4968223,031-770-3944
109,지역,코로나19 경기도 하남시 예방접종센터,,하남종합운동장 제2체육관,12912,경기도 하남시 아리수로 600,127.1916928,37.56727043,031-790-5923
110,지역,코로나19 경기도 의왕시 예방접종센터,,의왕시청소년수련관 다목적체육관,16077,경기도 의왕시 문화공원로 33,126.9718585,37.3419045,031-345-2071
111,지역,코로나19 경기도 김포시 예방접종센터,,김포시민회관 실내체육관,10110,경기도 김포시 사우중로26,126.7180147,37.6170586,031-5186-8300
112,지역,코로나19 경기도 광주시 예방접종센터,,시민체육관,12794,경기도 광주시 오포읍 청석로 85,127.2586309,37.3956313,031-760-8755
113,지역,코로나19 경기도 안양시 만안구 예방접종센터,,안양아트센터,14093,경기도 안양시 만안구 문예로36번길 16,126.9312877,37.3846631,031-8045-3110
114,지역,코로나19 경기도 군포시 예방접종센터,,시민체육광장,15862,경기도 군포시 산본로 267,126.9364681,37.3547732,031-389-4940
115,지역,코로나19 경기도 포천시 예방접종센터,,포천종합운동장,11154,경기도 포천시 군내면 호국로 1518,127.2007227,37.8880065,031-538-3611
116,지역,코로나19 경기도 구리시 예방접종센터,,인창도서관대강당,11922,경기도 구리시 건원대로34번길 90,127.145882,37.6052822,031-550-8666
117,지역,코로나19 경기도 고양시 덕양구 예방접종센터,,고양어울림누리 체육관,10471,경기도 고양시 덕양구 어울림로 33,126.8334159,37.6490151,031-8075-4825
118,지역,코로나19 강원도 동해시 예방접종센터,,동해체육관,25750,강원도 동해시 덕골길 10,129.0993805,37.5176483,033-539-8346
119,지역,코로나19 강원도 태백시 예방접종센터,,문화예술회관,26009,강원도 태백시 고원로 203,128.9880281,37.1719567,033-550-3121
120,지역,코로나19 강원도 속초시 예방접종센터,,속초시생활체육관,24855,강원도 속초시 동해대로 4229,128.577105,38.1966101,033-639-2131
121,지역,코로나19 강원도 영월군 예방접종센터,,스포츠파크 실내체육관,26237,강원도 영월군 영월읍 제방안길 100,128.4648632,37.1769504,033-370-2517
122,지역,코로나19 강원도 평창군 예방접종센터,,평창읍 생활체육관,25377,강원 평창군 평창읍 산책길 38,128.3926594,37.3587642,033-330-4835
123,지역,코로나19 강원도 정선군 예방접종센터,,정선종합경기장 실내체육관,26125,강원도 정선군 정선읍 애산로 60,128.6747185,37.3770887,033-560-4024
124,지역,코로나19 강원도 인제군 예방접종센터,,인제체육관,24624,강원도 인제군 인제읍 비봉로44번길 113,128.165326,38.0586312,033-460-2513
125,지역,코로나19 충청북도 고성군 예방접종센터,,고성생활체육관,24728,강원도 고성군 간성읍 수성로 87,128.467108,38.3763599,033-680-3957
126,지역,코로나19 충청북도 청주시 서원구 예방접종센터,,청주체육관,28559,충청북도 청주시 서원구 사직대로 229,127.4734123,36.6365136,043-201-3253
127,지역,코로나19 충청북도 제천시 예방접종센터,,제천체육관,27182,충청북도 제천시 숭의로 85(화산동),128.215994,37.1308774,043-641-3902
128,지역,코로나19 충청북도 옥천군 예방접종센터,,옥천체육센터,29039,충청북도 옥천군 옥천읍 관성로 53,127.5754856,36.3023913,043-730-2192
129,지역,코로나19 충청남도 공주시 예방접종센터,,백제체육관,32535,충청남도 공주시 고마나루길 51-14,127.1068865,36.4625653,041-840-8791
130,지역,코로나19 충청남도 보령시 예방접종센터,,보령종합체육관,33494,충청남도 보령시 보령남로 339,126.6037814,36.3150123,041-930-5901
131,지역,코로나19 충청남도 부여군 예방접종센터,,부여국민체육센터,33117,충청남도 부여군 규암면 호수로 82,126.8630546,36.27870947,041-830-8682
132,지역,코로나19 충청남도 서천군 예방접종센터,,서천국민체육센터,33651,충청남도 서천군 마서면 마서로 400,126.6646855,36.0593861,041-950-4046
133,지역,코로나19 충청남도 예산군 예방접종센터,,윤봉길체육관,32438,충청남도 예산군 예산읍 예산로 352,126.8601305,36.67701,041-339-6082
134,지역,코로나19 충청남도 태안군 예방접종센터,,태안군민체육관,32140,충청남도 태안군 태안읍 백화로 200,126.3127186,36.7548093,041-671-5349
135,지역,코로나19 전라북도 익산시 예방접종센터,,익산실내체육관,54582,전라북도 익산시 무왕로 1397,127.007237,35.96972234,063-859-7481
136,지역,코로나19 충청남도 당진시 예방접종센터,,송악문화스포츠센터,31732,충청남도 당진시 송악읍 틀모시로 830,126.6910655,36.9071524,041-360-6120
137,지역,코로나19 전라북도 진안군 예방접종센터,,전통문화전수관,55432,전라북도 진안군 진안읍 우화2길 35번지,127.4297061,35.7887905,063-430-8503
138,지역,코로나19 전라북도 고창군 예방접종센터,,청소년수련관체육관,56450,전라북도 고창군 고창읍 운동장길 36,126.7231654,35.4336323,063-560-8564
139,지역,코로나19 전라남도 나주시 예방접종센터,,나주종합스포츠파크(다목적체육관),58253,전라남도 나주시 영산강변로 99(송월동),126.7193446,35.0120317,061-339-2157
140,지역,코로나19 전라남도 담양군 예방접종센터,,담양문화회관,57344,전라남도 담양군 담양읍 지침6길 29,126.9855713,35.3163146,061-380-3961
141,지역,코로나19 전라남도 곡성군 예방접종센터,,곡성문화체육관,57535,전라남도 곡성군 곡성읍 곡성로 855,127.298185,35.281329,061-380-8981
142,지역,코로나19 전라남도 고흥군 예방접종센터,,팔영체육관,59536,전라남도 고흥군 고흥읍 고흥로 1892-67,127.300194,34.6155045,061-830-6626
143,지역,코로나19 전라남도 보성군 예방접종센터,,다향체육관,59451,전라남도 보성군 보성읍 용문길 18,127.0945875,34.7721583,061-850-5683
144,지역,코로나19 전라남도 장흥군 예방접종센터,,장흥군 실내체육관,59333,전라남도 장흥군 장흥읍 읍성로 5-28,126.8924111,34.6699466,061-860-6476
145,지역,코로나19 전라남도 화순군 예방접종센터,,이용대체육관,58149,전라남도 화순군 화순읍 학포로 2698,126.9686133,35.0501241,061-379-5992
146,지역,코로나19 전라남도 강진군 예방접종센터,,제2실내체육관,59223,전라남도 강진군 강진읍 종합운동장길 60,126.7823691,34.6470779,061-430-3595
147,지역,코로나19 전라남도 영암군 예방접종센터,,영암실내체육관,58418,전라남도 영암군 영암읍 영암로 1527,126.6970437,34.7948384,061-470-6578
148,지역,코로나19 전라남도 무안군 예방접종센터,,무안종합스포츠파크 실내체육관,58517,전라남도 무안군 현경면 공항로 345,126.4474876,35.0035628,061-450-5110
149,지역,코로나19 전라남도 함평군 예방접종센터,,문화체육센터,57145,전라남도 함평군 대동면 함장로 1377,126.5440217,35.0616145,061-320-2419
150,지역,코로나19 전라남도 장성군 예방접종센터,,군민회관,57220,전라남도 장성군 장성읍 청운7길 10,126.7857486,35.3044189,061-390-8332
151,지역,코로나19 전라남도 완도군 예방접종센터,,농어민문화체육센터,59109,전라남도 완도군 완도읍 개포로 111,126.7416771,34.31595,061-550-6761
152,지역,코로나19 전라남도 진도군 예방접종센터,,진도군 실내체육관,58927,전라남도 진도군 진도읍 공설운동장길 57,126.2790744,34.4774916,061-540-6043
153,지역,코로나19 전라남도 신안군 예방접종센터,,신안군민체육관,58821,전라남도 신안군 압해읍 복룡로 120,126.3123805,34.8746659,061-240-8816
154,지역,코로나19 경상북도 경주시 예방접종센터,,경주실내체육관,38089,경상북도 경주시 황성공원로 29,129.2090805,35.8606452,054-760-2721
155,지역,코로나19 경상북도 문경시 예방접종센터,,온누리스포츠센터,36975,경상북도 문경시 점고길21,128.1855802,36.5944296,054-550-8278
156,지역,코로나19 경상북도 경산시 예방접종센터,,경산실내체육관,38637,경상북도 경산시 남매로 100,128.7437733,35.8211171,053-810-6317
157,지역,코로나19 경상북도 의성군 예방접종센터,,의성실내체육관,37331,경상북도 의성군 의성읍 충효로 88,128.7024706,36.3552754,054-830-6678
158,지역,코로나19 경상북도 청송군 예방접종센터,,청송군보건의료원,37433,경상북도 청송군 청송읍 의료원길 19,129.0526302,36.4310215,054-870-7220
159,지역,코로나19 경상북도 봉화군 예방접종센터,,봉화군민회관,36238,경상북도 봉화군 봉화읍 내성로 4길 6-44 ,128.7427865,36.8882148,054-679-6741
160,지역,코로나19 경상남도 창원시 예방접종센터,,창원축구센터 체육관,51460,경상남도 창원시 성산구 비음로 97,128.7071027,35.2237902,055-225-5713
161,지역,코로나19 경상남도 사천시 예방접종센터,,민방위교육장,52539,경상남도 사천시 용현면 시청로77,128.0638649,35.0034774,055-831-3624
162,지역,코로나19 경상남도 김해시 예방접종센터,,문화체육관,50918,경상남도 김해시 가야의길 98-19,128.8736651,35.2347747,055-350-0487
163,지역,코로나19 경상남도 밀양시 예방접종센터,,밀양문화체육회관,50436,경상남도 밀양시 삼문송림길 25,128.7573635,35.4884187,055-359-6101
164,지역,코로나19 경상남도 거제시 예방접종센터,,거제시체육관,53257,경상남도 거제시 계룡로11길 35,128.6171268,34.8821216,055-639-6155
165,지역,코로나19 경상남도 양산시 예방접종센터,,양산시 종합운동장 실내체육관,50619,경상남도 양산시 양산대로 849,129.032825,35.3462487,055-392-8721
166,지역,코로나19 경상남도 의령군 예방접종센터,,국민체육센터,52151,경상남도 의령군 의령읍 의병로8길 44,128.2570849,35.3156506,055-570-2872
167,지역,코로나19 경상남도 함안군 예방접종센터,,함안체육관,52036,경상남도 함안군 가야읍 함안대로 619-4,128.3975962,35.2804082,055-580-3335
168,지역,코로나19 경상남도 창녕군 예방접종센터,,창녕문화예술회관,50317,경상남도 창녕군 창녕읍 우포2로 1189-25,128.4902054,35.5447364,055-530-6277
169,지역,코로나19 경상남도 고성군 예방접종센터,,고성군 실내체육관,52931,경상남도 고성군 고성읍 송학고분로 179,128.3103261,34.97859,055-670-4080
170,지역,코로나19 경상남도 남해군 예방접종센터,,남해문화센터,52413,경상남도 남해군 남해읍 선소로12,127.899595,34.8453176,055-860-8776
171,지역,코로나19 경상남도 하동군 예방접종센터,,하동군보건소,52333,경상남도 하동군 군청로31,127.7529875,35.066775,055-880-6912
172,지역,코로나19 경상남도 산청군 예방접종센터,,산청군 실내체육관,52215,경남 산청군 금서면 친환경로2631번길 39,127.8701727,35.4219823,055-970-7548
173,지역,코로나19 경상남도 함양군 예방접종센터,,한들생태주차창,676-805,경상남도 함양군 함양읍 용평리 637-1,127.7327652,35.52000778,055-960-8051
174,지역,코로나19 경상남도 거창군 예방접종센터,,거창군 스포츠파크 실내체육관,50126,경상남도 거창군 거창읍 양평리 1160,127.9290773,35.6921361,055-940-8333
175,지역,코로나19 경상남도 합천군 예방접종센터,,합천체육관,50229,경상남도 합천군 합천읍 장수로 1,128.1534008,35.5615874,055-930-3693
176,지역,코로나19 부산광역시 영도구 예방접종센터,,부산국제크루즈터미널,49111,부산광역시 영도구 해양로301번길 17(동삼동),129.0791563,35.0807621,051-419-6262
177,지역,코로나19 부산광역시 사하구 예방접종센터,,부산교통공사 신평체육관,49431,부산광역시 사하구 하신번영로 175,128.9613786,35.09580927,051-220-0131
178,지역,코로나19 부산광역시 기장군 예방접종센터,,기장체육관 보조경기장,46077,부산광역시 기장군 기장대로 650,129.2240183,35.2519041,051-709-8636
